title,"Reference type",Citation,"Concluding Remarks",License,ID,UUID,"Original Publication","Publication Area","Publication Language","Year of Publication",Abstract,"Access Date","Accession Number","Alternate Title",Author,"Date Published",DOI,"ISBN Number","ISSN Number",Issue,Keywords,Label,License,Notes,Number,"Number of Pages","Number of Volumes","Place Published","Short Title",URL,Volume
"Factors Affecting Cybersecurity Awareness among University Students","Journal Article","Alqahtani, M. A. (2022). Factors Affecting Cybersecurity Awareness among University Students. MDPI AG. https://doi.org/10.3390/app12052589 (Original work published)",,,269,54e65c4a-1385-47a1-8df4-5b34b4f3d110,,"Civilian cybersecurity",,2022,"One of the essential stages in increasing cyber security is implementing an effective security awareness program. This work studies the present level of security knowledge among Imam Abdulrahman Bin Faisal University college students. A module was created to assist the students in becoming more informed. The main contribution of this work is an assessment of cybersecurity awareness among the university students based on three essential aspects: password security, browser security, and social media. Numerous questions were designed and sent to them to evaluate their awareness. The current survey received as many as 450 responses with their answers. Various statistical analyses were applied to the responses, including the validity and reliability test, feasibility test of a variable, correlation test, multicollinearity test, multiple regression, and heteroskedasticity test, carried out using SPSS. Furthermore, a multiple linear regression model and coefficient of determination, a hypothesis test, ANOVA test, and a partial test using ANOVA were also carried out.",,,,"Mohammed A. Alqahtani",2022-03-02,10.3390/app12052589,,2076-3417,,,,,"The hypothesis investigated here concerns password security, browser security, and social media. The results of partial hypothesis testing using a t-test showed that the password security variable significantly affects cybersecurity awareness (p-value = 0.0001). The regression coefficient of the password security variable in the multiple linear regression model was found to have a beta value of 0.147. In addition, the browser security variable significantly affects awareness, with a p-value = 0.0001. The regression coefficient of the password security variable had a beta value of 0.188. The social media activities variable significantly affects cybersecurity awareness (p-value = 0.0001). The regression coefficient of the social media activities variable had a beta value of 0.241. Based on the research conducted, it is concluded that knowledge of password security, browser security, and social media activities significantly influences cybersecurity awareness in students. Overall, students have realized the importance of cybersecurity awareness.",,,,,,https://www.mdpi.com/2076-3417/12/5/2589,
"Organizational Learning from Cybersecurity Performance: Effects on Cybersecurity Investment Decisions","Journal Article","Shaikh, F. A., & Siponen, M. (2024). Organizational Learning from Cybersecurity Performance: Effects on Cybersecurity Investment Decisions. Springer Science and Business Media LLC. https://doi.org/10.1007/s10796-023-10404-7 (Original work published)",,,270,32b06d14-f038-4849-ba24-a60dd0f2710f,,"Civilian cybersecurity",,2024,"IS literature has identified various economic, performance, and environmental factors affecting cybersecurity investment decisions. However, economic modeling approaches dominate, and research on cybersecurity performance as an antecedent to investments has taken a backseat. Neglecting the role of performance indicators ignores real-world concerns driving actual cybersecurity investment decision-making. We investigate two critical aspects of cybersecurity performance: breach costs and breach identification source, as antecedents to cybersecurity investment decisions. We use organizational learning to theorize how performance feedback from these two aspects of cybersecurity breaches influences subsequent investment decisions. Using firm-level data on 722 firms in the UK, we find that higher breach costs are more likely to elicit increases in cybersecurity investments. This relationship is further strengthened if a third party identifies the breach instead of the focal firm. We contribute to the literature on cybersecurity investments and incident response.",,,,"Faheem Ahmed Shaikh, Mikko Siponen",2023-05-27,10.1007/s10796-023-10404-7,,1387-3326,,,,,"The findings stress the need for firms to analyze aspects of their cybersecurity performance and use them as feedback for investment decisions, making these decisions data-driven and based on firm-specific needs.",,,,,,https://link.springer.com/article/10.1007/s10796-023-10404-7,
"Risk as affect: The affect heuristic in cybersecurity","Journal Article","van Schaik, P., Renaud, K., Wilson, C., Jansen, J., & Onibokun, J. (2020). Risk as affect: The affect heuristic in cybersecurity. Elsevier BV. https://doi.org/10.1016/j.cose.2019.101651 (Original work published)",,,271,a84173b6-1f13-408a-ac5f-38a3525a873b,,"Cybersecurity and defense",,2020,"Risk perception is an important driver of netizens’ (Internet users’) cybersecurity behaviours, with a number of factors influencing its formation. It has been argued that the affect heuristic can be a source of variation in generic risk perception. However, a major shortcoming of the supporting research evidence for this assertion is that the central construct, affect, has not been measured or analysed. Moreover, its influence in the cybersecurity domain has not yet been tested.",,,,"Paul van Schaik, Karen Renaud, Christopher Wilson, Jurjen Jansen, Joseph Onibokun",2020-03,10.1016/j.cose.2019.101651,,0167-4048,,,,,"The contribution of the research reported in this paper is thus, firstly, to test the affect heuristic while measuring its three constructs: affect, perceived risk and perceived benefit and, secondly, to test its impact in the cybersecurity domain. By means of two carefully designed studies (N = 63 and N = 233), we provide evidence for the influence of the affect heuristic on risk perception in the cybersecurity domain. We conclude by identifying directions for future research into the role of affect and its impact on cybersecurity risk perception.",,,,,,https://www.sciencedirect.com/science/article/pii/S0167404819301956,
"The Impact and Limitations of Artificial Intelligence in Cybersecurity: A Literature Review","Journal Article","Ansari, M. F., Dash, B., Sharma, P., & Yathiraju, N. (2022). The Impact and Limitations of Artificial Intelligence in Cybersecurity: A Literature Review. Tejass Publishers. https://doi.org/10.17148/IJARCCE.2022.11912 (Original work published)",,,272,7f48480f-1cf2-4bbc-baf4-0021ec33364c,,"Cybersecurity and defense",,2022,"Artificial intelligence is opening up new avenues for value generation in enterprises, industries, communities, and society as a whole. Technology has been researched to be relevant in many aspects of the world. This factor has made it to be included mainly in different businesses and industries. The applications of AI are endless to discuss. The research below examines the applications of artificial intelligence (AI) in cybersecurity. Cybersecurity has also been a growing concept in the technological industry. Many companies have included information technology in their businesses. This factor has required companies and organizations to demand more security measures. The attempt to protect the available data and information has resulted in the growth of cybersecurity, and AI has been seen to influence cybersecurity heavily on a large scale. This factor has made machine learning to be significantly induced in recent technologies supporting cybersecurity. The research paper performs a literature review and examines the overall impacts of artificial intelligence on cybersecurity",,,,"Meraj Farheen Ansari, Bibhu Dash, Pawankumar Sharma, Nikhitha Yathiraju",2022-09-30,10.17148/IJARCCE.2022.11912,,2319-5940,,,,,"The procedures showcase the technological impact of the technology on cybersecurity measures. The above research also focuses on some limitations of AI impacting cyber security. The limits showcase how people have managed to use AI for their gains. This factor has led to constraints in cybersecurity. Researchers and innovators should work to ensure that the limitations discussed above have been avoided. Systems should be made more secure through the use of AI systems. Increasing cybersecurity measures will ensure that attackers cannot exploit organizations. This factor will ensure more growth and development of organizations and companies. Based on the research above, the conclusion is that artificial intelligence has dramatically impacted cyber security.",,,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4323317,
"Understanding cybersecurity behavioral habits: Insights from situational support","Journal Article","Hong, Y., & Furnell, S. (2021). Understanding cybersecurity behavioral habits: Insights from situational support. Elsevier BV. https://doi.org/10.1016/j.jisa.2020.102710 (Original work published)",,,273,71de246b-8b79-45f4-8100-be50fe6f6e0a,,"Cybersecurity and defense",,2021,"While the Internet has become an indispensable aspect of personal and professional lives, it has also served to render many individuals vulnerable to cybersecurity threats. Thus, the promotion of cybersecurity behaviors can effectively protect individuals from these threats. However, cybersecurity behaviors do not necessarily come naturally, and people need support and encouragement to develop and adopt them. A habit is an important factor that may motivate cybersecurity behaviors, but it has often been overlooked in past studies. To address this limitation, this study examined the formation of cybersecurity behavioral habits. Hierarchical regression analysis was used to analyze cybersecurity behavior survey data obtained from 393 college student participants.",,,,"Yuxiang Hong, Steven Furnell",2021-03,10.1016/j.jisa.2020.102710,,2214-2126,,,,,"The results revealed the following: (1) efficacy and behavioral comprehensiveness predict cybersecurity behavioral habits; (2) efficacy has a positively impact on behavioral comprehensiveness; (3) situational support has a positive influence on efficacy. These findings suggest that cybersecurity behavioral habits can be formed by promoting the diversity of cybersecurity measures practiced (behavioral comprehensiveness) and efficacy.",,,,,,https://www.sciencedirect.com/science/article/pii/S2214212620308553,
"The role of cybersecurity and policy awareness in shifting employee compliance attitudes: Building supply chain capabilities","Journal Article","Wong, L.-W., Lee, V.-H., Tan, G. W.-H., Ooi, K.-B., & Sohal, A. (2022). The role of cybersecurity and policy awareness in shifting employee compliance attitudes: Building supply chain capabilities. Elsevier BV. https://doi.org/10.1016/j.ijinfomgt.2022.102520 (Original work published)",,,274,d6832cd8-5751-49bd-bf51-a7ba6d09e2d2,,"Cybersecurity and defense",,2022,"This paper investigates the role of general cybersecurity and cybersecurity policy awareness in enhancing supply chain cyber resilience reactive capabilities. Theorizing from the Protection Motivation Theory, 200 Small and Medium Enterprises (SMEs) were contacted to understand their perception of cybersecurity and policy awareness in affecting their overall cybersecurity hygiene. Data collection was carried out using a questionnaire survey and analysed via Partial Least Squares-based Structural Equation Modelling to validate the research framework.",,,,"Lai-Wan Wong, Voon-Hsien Lee, Garry Wei-Han Tan, Keng-Boon Ooi, Amrik Sohal",2022-10,10.1016/j.ijinfomgt.2022.102520,,0268-4012,,,,,"Results of analysis outlined the importance of general cybersecurity and policy awareness in shifting employees’ compliance attitude towards enhancing supply chain reactive capability. Using a mixed-method approach, post-survey interviews were further conducted with practitioners in SMEs to understand the study findings. The implications outlined in this study emphasises the importance of prioritising preventive measures and proper employee cyber hygiene to address the risk and loss following a cyber-attack. Key supply chain operational areas in SMEs are still largely supported by the human workforce serving as its backbone. An unwarranted attack could cause adverse business impacts. Thus, practitioners and SMEs would be alerted to the critical need for a robust security posture and that SMEs’ need of the hour lies at the core of its policy and employee cybersecurity hygiene.",,,,,,https://www.sciencedirect.com/science/article/pii/S0268401222000548,
"Factors affecting risky cybersecurity behaviors by U.S. workers: An exploratory study","Journal Article","Gillam, A. R., & Foster, W. T. (2020). Factors affecting risky cybersecurity behaviors by U.S. workers: An exploratory study. Elsevier BV. https://doi.org/10.1016/j.chb.2020.106319 (Original work published)",,,275,b6941da2-dece-436d-9927-16ff6a744240,,"Civilian cybersecurity",,2020,"Behavioral determinants of cybersecurity have gained greater attention among information technology experts in recent years. However, drivers of risky cybersecurity behavior have not been widely studied. This exploratory study examines the extent to which risky cybersecurity behavior is predicted by factors of cybersecurity-related avoidance behavior. Self-reported risky cybersecurity behavior was examined in light of technology threat avoidance factors in a sample of 184 working adults in the United States.",,,,"Andrew R. Gillam, W. Tad Foster",2020-07,10.1016/j.chb.2020.106319,,0747-5632,,,,,"Risky behaviors were measured using the instrument by Hadlington (2017), previously used by researchers to measure behavioral associations with non-technology threat avoidance-related items. Hierarchical regression noted significant predictive associations between several technology threat avoidance factors and self-reported risky cybersecurity behavior: perceived susceptibility (p = .027), perceived cost (p = .003), and self-efficacy (p = .043). Combined, these variables explained 9.4% of the adjusted variance in levels of risky cybersecurity behavior (p = .001). Effect size calculations revealed predictive impacts in the low-medium range. Age was also confirmed as a confounding covariate (p = .045). The impact findings uniquely distinguish this study from previous works. Findings also infer that training in protective behavior can mitigate a significant portion of risky cybersecurity behavior.",,,,,,https://www.sciencedirect.com/science/article/pii/S074756322030073X,
"Cybersecurity capabilities and cyber-attacks as drivers of investment in cybersecurity systems: A UK survey for 2018 and 2019","Journal Article","Fernandez De Arroyabe, I., Arranz, C. F., Arroyabe, M. F., & Fernandez de Arroyabe, J. C. (2020). Cybersecurity capabilities and cyber-attacks as drivers of investment in cybersecurity systems: A UK survey for 2018 and 2019. Elsevier BV. https://doi.org/10.1016/j.cose.2022.102954 (Original work published)",,,276,379e708c-9bb6-4855-83ac-6eaf847428dc,,"Civilian cybersecurity",,2020,"Our study explores how cyber-capabilities and cyber-attacks drive investment in cybersecurity systems. We assume that cybersecurity investment is a strategic decision in the organizations. To analyze this research question, we make use of the Cyber Security Breaches Survey data, with a sample consisting of 4,163 UK organizations in the periods 2018 to 2019, and employ machine learning techniques (ANN and K-mean cluster).",,,,"Ignacio Fernandez De Arroyabe, Carlos F.A. Arranz, Marta F. Arroyabe, Juan Carlos Fernandez de Arroyabe",2023-01,10.1016/j.cose.2022.102954,,0167-4048,,,,,"The study extends the current literature on cybersecurity systems and improves our understanding of it in several ways. First, it provides evidence for how the cybersecurity systems are developed in organizations. Second, regarding what factors affect investment in cybersecurity systems, it shows that organizations invest in cybersecurity based on their cybersecurity capabilities and the experienced cyber-attacks. Third, from a managerial point of view, the paper contributes to understanding cybersecurity within the management of the organization.",,,,,,https://www.sciencedirect.com/science/article/pii/S0167404822003467,
"Time pressure in human cybersecurity behavior: Theoretical framework and countermeasures","Journal Article","Chowdhury, N. H., Adam, M. T., & Teubner, T. (2022). Time pressure in human cybersecurity behavior: Theoretical framework and countermeasures. Elsevier BV. https://doi.org/10.1016/j.cose.2020.101963 (Original work published)",,,277,2eada0e1-fb68-441f-8a9a-a6799fab2913,,"Civilian cybersecurity",,2022,"Cybersecurity is a growing concern for private individuals and professional entities. Reports have shown that the majority of cybersecurity incidents occur because users fail to behave securely. Research on human cybersecurity (HCS) behavior suggests that time pressure is one of the important driving factors behind non-secure HCS behavior. However, there is limited conceptual work to guide researchers and practitioners in this regard. Against this backdrop, we investigate how the impact of time pressure on HCS behavior can be conceptualized within an integrative framework and which countermeasures can be used to reduce its negative impact. Altogether, we conducted 35 interviews with cybersecurity experts, non-security professionals, and private users.",,,,"Noman H. Chowdhury, Marc T.P. Adam, Timm Teubner",2020-10,10.1016/j.cose.2020.101963,,0167-4048,,,,,"The results of our study shed light on the theoretical pathways through which time pressure can affect different types of security behaviors and identify a range of operational, human, technical, and physical countermeasures with important implications for research and practice.",,,,,,https://www.sciencedirect.com/science/article/pii/S0167404820301747,
"Roadmap for Cybersecurity in Autonomous Vehicles","Journal Article","Kukkala, V. K., Thiruloga, S. V., & Pasricha, S. (2022). Roadmap for Cybersecurity in Autonomous Vehicles. Institute of Electrical and Electronics Engineers (IEEE). https://doi.org/10.1109/MCE.2022.3154346 (Original work published)",,,278,f4677958-32e7-4c26-b524-1dbca223e17c,,"Cybersecurity and defense",,2022,"Thus, there is a need to strengthen cybersecurity in future autonomous vehicles. In this article, we discuss major automotive cyber-attacks over the past decade and present state-of-the-art solutions that leverage artificial intelligence. We propose a roadmap toward building secure autonomous vehicles and highlight key open challenges that need to be addressed.",,,,"Vipin Kumar Kukkala, Sooryaa Vignesh Thiruloga, Sudeep Pasricha",2022-11-01,10.1109/MCE.2022.3154346,,2162-2248,,,,,"Autonomous vehicles are on the horizon and will be transforming transportation safety and comfort. These vehicles will be connected to various external systems and utilize advanced embedded systems to perceive their environment and make intelligent decisions. However, this increased connectivity makes these vehicles vulnerable to various cyber-attacks that can have catastrophic effects. Attacks on automotive systems are already on the rise in today's vehicles and are expected to become more commonplace in future autonomous vehicles.",,,,,,https://ieeexplore.ieee.org/abstract/document/9721088,
"Trailblazing the Artificial Intelligence for Cybersecurity Discipline: A Multi-Disciplinary Research Roadmap","Journal Article","Samtani, S., Kantarcioglu, M., & Chen, H. (2020). Trailblazing the Artificial Intelligence for Cybersecurity Discipline: A Multi-Disciplinary Research Roadmap. Association for Computing Machinery (ACM). https://doi.org/10.1145/3430360 (Original work published)",,,279,c494aa23-1de1-448c-9393-e0f9b3e3da65,,"Cybersecurity and defense",,2020,"In this article, we aim to provide an important step to progress the AI for Cybersecurity discipline. We first provide an overview of prevailing cybersecurity data, summarize extant AI for Cybersecurity application areas, and identify key limitations in the prevailing landscape. Based on these key issues, we offer a multi-disciplinary AI for Cybersecurity roadmap that centers on major themes such as cybersecurity applications and data, advanced AI methodologies for cybersecurity, and AI-enabled decision making. To help scholars and practitioners make significant headway in tackling these grand AI for Cybersecurity issues, we summarize promising funding mechanisms from the National Science Foundation (NSF) that can support long-term, systematic research programs. We conclude this article with an introduction of the articles included in this special issue.",,,,"Sagar Samtani, Murat Kantarcioglu, Hsinchun Chen",2020-12-02,10.1145/3430360,,2158-656X,,,,,"Preventing cyber-attacks has become a grand societal challenge. Despite significant investments in various cybersecurity programs, breaches remain on an upward trend. AI-based techniques hold significant promise in sifting through large quantities of heterogeneous cybersecurity data to efficiently and effectively support critical cybersecurity tasks such as asset prioritization, controls allocation, threat detection, and vulnerability management. Despite these potential benefits, the AI for Cybersecurity discipline is still in its nascency. Numerous opportunities exist for scholars to make significant progress and practical impacts in turning the tide against cyber-attacks.",,,,,,https://dl.acm.org/doi/abs/10.1145/3430360,
"Industrial IoT, Cyber Threats, and Standards Landscape: Evaluation and Roadmap","Journal Article","Dhirani, L. L., Armstrong, E., & Newe, T. (2021). Industrial IoT, Cyber Threats, and Standards Landscape: Evaluation and Roadmap. MDPI AG. https://doi.org/10.3390/s21113901 (Original work published)",,,284,77e806d8-4102-404e-b149-88193538a1d5,,"Cybersecurity and defense",,2021,"The authors are currently working on an Industry 4.0 cybersecurity project and the insights provided in this paper are derived from the project. This research enables an understanding of converged/hybrid cybersecurity standards, reviews the best practices, and provides a roadmap for identifying, aligning, mapping, converging, and implementing the right cybersecurity standards and strategies for securing M2M communications in the IIoT.",,,,"Lubna Luxmi Dhirani, Eddie Armstrong, Thomas Newe",2021-06-05,10.3390/s21113901,,1424-8220,,,,,"Industrial IoT (IIoT) is a novel concept of a fully connected, transparent, automated, and intelligent factory setup improving manufacturing processes and efficiency. To achieve this, existing hierarchical models must transition to a fully connected vertical model. Since IIoT is a novel approach, the environment is susceptible to cyber threat vectors, standardization, and interoperability issues, bridging the gaps at the IT/OT ICS (industrial control systems) level. IIoT M2M communication relies on new communication models (5G, TSN ethernet, self-driving networks, etc.) and technologies which require challenging approaches to achieve the desired levels of data security. Currently there are no methods to assess the vulnerabilities/risk impact which may be exploited by malicious actors through system gaps left due to improper implementation of security standards.",,,,,,https://www.mdpi.com/1424-8220/21/11/3901,
"Toward a Sustainable Cybersecurity Ecosystem","Journal Article","Sadik, S., Ahmed, M., Sikos, L. F., & Islam, A. K. M. N. (2020). Toward a Sustainable Cybersecurity Ecosystem. MDPI AG. https://doi.org/10.3390/computers9030074 (Original work published)",,,289,59910b45-c3a4-4cdc-8b81-68200187dd51,,"Civilian cybersecurity",,2020,"This paper focuses on the cybersecurity of smart grids and the emerging trends such as using blockchain in the Internet of Things (IoT). The cybersecurity of emerging technologies such as smart cities is also discussed. In addition, associated solutions based on artificial intelligence and machine learning frameworks to prevent cyber-risks are also discussed. Our review will serve as a reference for policy-makers from the industry, government, and the cybersecurity research community.",,,,"Shahrin Sadik, Mohiuddin Ahmed, Leslie F. Sikos, A. K. M. Najmul Islam",2020-09-17,10.3390/computers9030074,,2073-431X,,,,,"This paper discusses methods to adapt advanced, state-of-the-art security measures for cyberthreat prevention and mitigation. Implementing proper system components by taking into account the cybersecurity lifecycle while applying guidelines and best practices is imperative and required to detect and verify cyberthreats efficiently. The potential implications of cyberthreats have been analyzed with real-world examples across different industries, including, but not limited to, industrial controls systems, more specifically smart grids and smart cities. In addition, emerging trends are also discussed. Cybersecurity solutions powered by artificial intelligence and machine learning are also discussed, along with the community cybersecurity model. This review paper was written to serve as a source of references for industrial and government policy-makers as well as the research community.",,,,,,https://www.mdpi.com/2073-431X/9/3/74,
"Cybersecurity Risk Assessment of Industrial Control Systems Based on Order-α Divergence Measures Under an Interval-Valued Intuitionistic Fuzzy Environment","Journal Article","Guo, H., Ding, L., & Xu, W. (2022). Cybersecurity Risk Assessment of Industrial Control Systems Based on Order-α Divergence Measures Under an Interval-Valued Intuitionistic Fuzzy Environment. Institute of Electrical and Electronics Engineers (IEEE). https://doi.org/10.1109/ACCESS.2022.3169133 (Original work published 2022)",,,301,1ce4aced-b24f-439d-b8bb-6e8c121a40fd,,"Civilian cybersecurity",,2022,"With the increasing deployment of network technologies in industrial control systems (ICSs), cybersecurity has become a challenge in ICSs. Cybersecurity risk assessment (CRA) plays an important role in cybersecurity protection of ICSs. However, the weights of risk indices are constants in traditional CRA methods, and they do not fully consider the requirements of risk identification. In this paper, we define a novel order-α divergence measure for interval-valued intuitionistic fuzzy numbers (IVIFNs) and further develop a novel CRA approach for ICSs based on the proposed divergence measure under an interval-valued intuitionistic fuzzy environment to contribute to the research gap. First, an order-α divergence measure for IVIFNs is defined considering flexibility and robustness of divergence measures with the parameter. Next, a variable weight-based CRA approach for ICSs is developed. In this approach, IVIFNs are adopted to describe evaluation values of risk indices. The weights of risk indices are variable weight vectors and they are determined by the relative divergence closeness. Integration approaches of each node and each attack path in attack-defense trees (ADTs) are proposed based on the operations of IVIFNs, and risk scores of each attack path are calculated by using the score function. Finally, we apply the proposed method to the CRA of a civil aviation fuel supply automatic control system and verify its effectiveness and advantages by comparing it with other methods. This method can dynamically adjust the weights of risk indices considering the relationship between each risk index and the highest risk, and therefore, it can more effectively recognize the highest risk of ICSs than the traditional CRA method. In addition, it can also match the risk attitude of decision-makers by adjusting the parameter α.  © 2013 IEEE.",,,,"Huijuan Guo, Lei Ding, Wenchao Xu",2022,10.1109/ACCESS.2022.3169133,,2169-3536,,,,,"In this paper, we de ne an order- divergence measure for IVIFNs and develop a novel CRA method for ICSs under an interval-valued intuitionistic fuzzy environment. Finally, we apply the proposed method to the CRA of a civil aviation fuel supply automatic control system, verify its effectiveness and demonstrate its advantages. In summary, our research has three main contributions: 1. We define an order- divergence measure for IVIFNs, which can make up for the gap that there is no divergence measure with the parameter for IVIFNs. 2.We expand IVIFS to the CRA of ICSs and formulate integration approaches of all nodes and attack paths with IVIFNs in the ADT model. 3.We propose a novel CRA method for ICSs. In our method, we regard the weights of risk indices as variable weight vectors and develop a new technology to determine the weights of risk indices based on the proposed divergence measure. The proposed method can effectively avoid irrationality in the results of risk assessment compared with traditional CRA methods. However, the proposed method also has its limitations: 1. It is only applicable to CRA problems in which evaluation values are expressed in the form of IVIFS. 2. The risk indices are regarded as independent without considering their mutual interaction in the integration process of leaf nodes. In future research, we are committed to the following two aspects: 1. We will extend other fuzzy sets to the CRA of ICSs, for instance, interval-valued q-rung orthopair fuzzy sets. 2. We will advance some novel CRA methods for ICSs considering the interactions among risk indices.",,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9761209,
"Are pilots prepared for a cyber-attack? A human factors approach to the experimental evaluation of pilots' behavior","Journal Article","Gontar, P., Behrend, J., Homans, H., Dehais, F., Bengler, K., & Rostalski, M. (2018). Are pilots prepared for a cyber-attack? A human factors approach to the experimental evaluation of pilots’ behavior. Elsevier BV. https://doi.org/10.1016/j.jairtraman.2018.01.004 (Original work published)",,,302,3bd7db93-102f-4684-9470-71fa7737ce16,,"Civilian cybersecurity",,2018,"The increasing prevalence of technology in modern airliners brings not just advantages, but also the potential for cyber threats. Fortunately, there have been no significant attacks on civil aircraft to date, which allows the handling of these emerging threats to be approached proactively. Although an ample body of research into technical defense strategies exists, current research neglects to take the human operator into account. In this study, we present an exploratory experiment focusing on pilots confronted with a cyber-attack. Results show that the occurrence of an attack affects all dependent variables: pilots' workload, trust, eye-movements, and behavior. Pilots experiencing an attack report heavier workload and weakened trust in the system than pilots whose aircraft is not under attack. Further, pilots who experienced an attack monitored basic flying instruments less and their performance deteriorated. A warning about a potential attack seems to moderate several of those effects. Our analysis prompts us to recommend incorporating cyber-awareness into pilots' recurrent training; we also argue that one has to consider all affected personnel when designing such training. Future research should target the development of appropriate procedures and training techniques to prepare pilots to correctly identify and respond to cyber-attacks. © 2018 Elsevier Ltd",,,,"Patrick Gontar, Julia Behrend, Hendrik Homans, Frédéric Dehais, Klaus Bengler, Michelle Rostalski",2018-06,10.1016/j.jairtraman.2018.01.004,,0969-6997,,,,,"Our results show that cyber-attacks influence pilots' workload, trust in the system, visual information acquisition behavior, and performance. We were able to show that a warning about an impending cyber-attack can moderate several of those effects but cannot completely obviate them. Thus the cyber-attack and the warning have to be taken into account when one wants to attenuate the aforementioned effects.",,,,,,https://www.sciencedirect.com/science/article/pii/S0969699717300510?casa_token=E0jFvZiNjrUAAAAA:UtAir0QaL3ns9XMvbgOlPQw4Yb4CWmXz4uc5vkhsndzgpQ6JpPw_Um7WJVo8NaTCjnbilA2YMNc,
"New Questions for an Old Alliance: NATO in Cyberspace and American Public Opinion","Journal Article","Guenther, L., & Musgrave, P. (2022). New Questions for an Old Alliance: NATO in Cyberspace and American Public Opinion. Oxford University Press (OUP). https://doi.org/10.1093/jogss/ogac024 (Original work published)",,,303,5960bcba-3991-4ede-8455-63780dcec7b1,,"Cybersecurity and defense",,2022,"Cybersecurity poses new questions for old alliances. These questions emerge with special force in the case of the North Atlantic Treaty Organization (NATO). The Russian Federation wields substantial cyber capabilities, but NATO members have been ambivalent about stating what sorts of attacks would trigger the North Atlantic Treaty's Article 5 collective self-defense provisions. Nevertheless, NATO officials state that there are some attacks that would trigger Article 5. This leads to a puzzle: why would an explicit alliance guarantee designed to ensure collective defense against certain forms of attack be informally extended to include others? Because the policy of the United States toward such questions will likely be of great significance in determining NATO policy, we use a series of survey experiments to test American public opinion regarding support for defending allies and friendly countries against cyber operations. Respondents are likelier to support a response to an attack that causes fatalities and when the victim has a treaty alliance with the United States. In contrast, support falls if US participation is likely to provoke further retaliation or the target attacked is civilian rather than military.  © 2022 The Author(s) (2022). Published by Oxford University Press on behalf of the International Studies Association.",,,,"Lindsey Guenther, Paul Musgrave",2022-11-01,10.1093/jogss/ogac024,,2057-3170,,,,,"This study offers one way of understanding how NATO alliance obligations may be understood in the era of cy-ber operations. We demonstrate that the American pub- lic takes a cautious view of its alliance commitments, but nevertheless believes that it has at least some continuing obligation to come to the aid of its allies in response to cyberattacks. We acknowledge limitations of our study. Perhaps larger-scale studies of public opinion conducted using probability-based sampling could yield different results, even if this may be less likely than skeptics would assume ( Coppock and McClellan 2019 ). Perhaps the transat- lantic alliance rests on particular socialization into beliefs about alliance solidarity that render elite viewpoints dif- ferent from the mass public’s perspective. If foreign policy is also insulated from public opinion, then our study may have less policy relevance than we claim (although note that at the limit, such a claim is equivalent to stating that US foreign policy is not just un- but anti- democratic). Eu- ropean (and Canadian) audiences may perceive these fac- tors much differently than American ones—and the other allies, too, have a vote. Nevertheless, we believe that this study illuminates an important set of emerging challenges and clarifies the basis of public support for and under- standing of NATO commitments. Our research points to clear paths for future work. Cross-country studies could offer valuable information about how other countries view their alliance obligations and how relative power and the severity of attack af- fect their calculations. Further research could also ex- plore whether the American public discriminates between powerful and less powerful allies, or between NATO and non-NATO allies (or even between formal allies and ma- jor US security partners such as Saudi Arabia or Israel), in determining what its commitments mean. In any event, such work should be carried out before more serious cy- ber scenarios manifest in real life.",,,,,,https://academic.oup.com/jogss/article-pdf/doi/10.1093/jogss/ogac024/46713424/ogac024.pdf?casa_token=h6oiB1ZMU4YAAAAA:7ab4YdnImquddi4hGfx6Jfx9fBEi0ZSneOxMMkSCka87vE8COdpacXOib1K6ssMXk9nXNLsqF26dehg,
